,title,rate,description
21,디지몬 어드벤처 트라이 제3장: 고백,9.6,메이쿠몬 갑자기 이를 일으키다 레오몬 소멸 시키다 왜곡 되다 공간 으로 자취 감추다 바람 크게 동요 하다 이치 친구 메이쿠몬 감염 되다 라면 원인 찾다 뭔가 징후 없다 대체 언제 감염 되다 거지 상상 초월 하다 상황 마주 하다 무언가 대책 세우다 투하 코시 하지만 뾰족 수도 없다 어떻 정보 얻다 위해 메이코 추궁 하다 자다 생각 해보다 감염 이유 밝히다 정보 필요하다 고개 숙이다 아무렇다 대답 하다 하다 메이코 감염 방지 하다 위해 시로 사무실 격리 되다 짝꿍 디지몬 하지만 파타몬 에게 감염 징후 보이다 시작 하고 같다 시각 짝꿍 디지몬 히카리 에게 목소리 통해 디지털 월드 중대하다 비밀 듣다 되다 오다 있다 그리고 다시 모습 드러내다 메이쿠몬 싸우다 와중 가다 다가오다 밝혀지다 비밀 고뇌 하다 이치 친구 마다 의견 엇갈리다 가운데 친구 하나 결의 다지다 언제 기다리다 보다 깜짝 하다 어른 돼다 버리다 지금 또다시 모험 진화 하다
22,그린 북,9.6,미국 입담 주먹 믿다 살아가다 토니 발레 비고 모텐슨 늘다 교양 우아하다 자체 천재 피아니스트 셜리 마허샬 알리 박사 운전기사 면접 보다 되다 백악관 에도 초청 되다 미국 전역 에서 콘서트 요청 받다 명성 떨치다 있다 셜리 위험하다 소문나다 미국 남부 투어 공연 떠나다 결심 하고 투어 기간 동안 자신 보디가드 운전기사 토니 고용 거치다 인생 살아오다 토니 발레 오다 교양 기품 지키다 살아오다 셜리 박사 생각 행동 말투 취향 까지 달라 너무 다른 사람 여행안내서 그린북 의존 하다 특별하다 남부 투어 시작 하다
23,가버나움,9.6,나르다 세상 태어나다 하다 부모님 고소하다 싶다 출생 기록 조차 없이 살아오다 어쩌면 소년 자인 으로부터
24,베어,9.6,부드럽다 햇살 받다 태어나다 지다 얼마 안되다 아기 두스 엄마 함께 나무 뿌리 에서 둥지 파내다 먹다 산다 그러나 엄마 갑자기 구르다 떨어지다 바위 깔다 죽다 혼자 되다 두스 여기 저기 떠돌아 다니다 엄마 보호 없이 혼자 직면 하다 세계 보이다 전부 놀라다 연속 이다 신기하다 개구리 물고기 냇물 나비 어느 두스 사냥꾼 맞다 상처 입다 크다 숫곰 바트 만나다 두스 귀찮다 바트 쫓아가다 상처 핥다 주다 이내 친구 되다 두스 바트 함께 사냥 하다 먹이 먹다 아기 두스 조금씩 바트 통해 자연 섭리 알다 되다 그러나 사냥개 데리 다시 나타나다 사냥꾼 바트 쫓다 두스 생포된 두스 하다 위해 나타나다 큰곰 바트 에게 밀리다 절벽 몰리다 사냥꾼 위기 하다 바트 사냥꾼 해치 않다 살리다 주다 우여곡절 바트 돌아오다 두스 흰눈 내리다 겨울 오자 바트 함께 겨울잠 위해 동굴 찾다
25,짱구는 못말려: 어른제국의 역습!!,9.6,세기 그립다 사람 현재 세기 일본 감정 없다 마르다 라며 현재 일본 세기 되돌리다 놓다 하다 그래서 짱구 가족 자신 미래 찾기 위해 이르다 막다 다시 일본 원래 대로 돌아오다 이야기 어느 일본 세기 박물관 이라는 생기다 어른 어리다 추억 감상 하다 있다 되어다 그런데 에서 어른 아이 처럼 만들다 세뇌 광고 내보내다 어른 아이 치고 박물관 으로 계속 놀다 가다 영영 돌아오다 않다 그것 바로 세기 그립다 조직 행각 리더 애인 챠코 지금 세상 전부 세기 그대로 만들다 하다 기다리다 토루 마사 네네 보오 히마와리 시로 세기 박물관 으로 치다 들어가다 어른 구출 해내다 사랑 하다 가족 함께 하다 위해 미래 넣다 도전 하다 그러나 지금 부모님 어른 공격 하다 되어다 있다
26,밥정,9.6,잔디 잡초 이끼 나뭇가지 자연 재료 삼다 요리 만들다 방랑 식객 임지호 셰프 친어머니 양어머니 대한 아프다 사연 간직 에서 인연 맺다 사람 에게 기꺼이 음식 대접 하다 지리산 에서 만난 김순규 할머니 어머니 모시 지만 끝내 찾아오다 번째 이별 임지호 셰프 낳다 기르다 그리고 마음 나누다 명의 어머니 위해 동안 접시 음식 장만 하다 으로 나누다 인생 차다 늦다 당신 나누다 싶다
27,학교 가는 길,9.6,전국 특수 학교 재학생 절반 매일 왕복 시간 거리 통학 하다 전쟁 같다 아침 맞이 하다 장애 학생 비다 없이 부족하다 특수 학교 아이 위해 거리 나선 엄마 무릎 까지 꿇다 강단 으로 맞서다 세상 바꾸다 사진 하다 엄마 용기 있다 외침 시작 되다
28,학교 가는 길(가치봄영화:시청각장애인용),9.6,전국 특수 학교 재학생 절반 매일 왕복 시간 거리 통학 하다 전쟁 같다 아침 맞이 하다 장애 학생 비다 없이 부족하다 특수 학교 아이 위해 거리 나선 엄마 무릎 까지 꿇다 강단 으로 맞서다 세상 바꾸다 사진 하다 엄마 용기 있다 외침 시작 되다
29,극장판 타오르지마 버스터 - 블랙어썰트의 귀환,9.6,평화롭다 지구 생활 즐기다 어느 우주 용병 회사 긴급 소환 명령 우주 돌아가다 가리다 운명 대결 시작 되다 한편 우주 전설 이라 불리다 블랙 써다 가다 지구 돌아오다 그리고 쫓다 우주해적 버스터 용병 하다 없다 격돌 펼쳐지다
30,올드 랭 사인,9.6,젊다 시절 동성 커플 이다 창식 성태 우연히 종묘 공원 에서 마주치다 노인 되어다 버리다 사람 사람 모텔 장소 옮기다 지나가다 시절 대한 이야기 주고받다 지나가다 시간 대한 용서 화해 그렇게 하루 보내다 또다시 슬프다 아름답다 이별 하다 연출 의도 일반 으로 노인 바라보다 감정 없다 사람 이라고 생각 하다 이렇다 시선 동성애자 바라보다 시선 다른 않다 생각 하다 영화 통해 바라보다 시선 옳다 않다 함께 사랑 누구 에게나 평등하다 감정 이라는 하고 싶다 서울 독립 영화제 탐페레 국제 단편 영화제 핀란드 토리노 레즈비언 영화제 이탈리아 서울 국제 영화제
31,마리안느와 마가렛,9.6,소록도 집집 마다 편지 하다 도착 하다 간호사 보내다 마지막 펴다 나이 들다 제대로 하다 없다 헤어지다 아픔 남다 다운 대다 아무 연고 없이 찾아오다 그렇게 떠나다 소록도 에서 한센병 환자 보살피다 푸른 천사 마리안느 마가렛 들꽃 같다 아픔 치유 바꾸다 사랑 되새기다
32,"의궤, 8일간의 축제 3D(2D버전)",9.6,의궤 일간 축제 늘다 걸치다 노력 을묘 정리 의궤 담기다 조선 역사상 가장 화려하다 일간 축제 입체 영상 으로 복원 해내다 국내 최고 전문가 엄격하다 고증 통해 금속활자 정리 에서부터 만들다 거대하다 배다리 무희 의상 잔치 쓰이다 음식 이르다 축제 주요 장면 상세 하다 복원 되어다 특히 을묘 정리 의궤 등장 하다 차도 통해 이르다 거대하다 국왕 행렬 의상 깃발 수많다 의장 까지 원형 그대로 재현 되어다 그렇게 의궤 일간 축제 통해 다시 부활 이다 그러나 행복하다 아버지 사도세자 잃다 아프다 살다 정조 기다리다 열망 이기도 하다 자신 지배 키우다 만이 목표 이다 신하 인하다 권력 에서 소외 되다 백성 치밀하다 계획 곳곳 숨다 있다 화성 이라는 거대하다 첨단 요새 에서 펼쳐지다 대규모 군사훈련 이상 비극 되풀이 되다 않다 원하다 정조 간절하다 염원 담기다 회심 이다 일간 축제 백성 행복하다 축제 포함 동시 쓰라리다 아픔 마저도 화합 행복 으로 바꾸다 전환 이기도 하다 정조 모든 빠지다 없이 기록 하다 하다 의궤 역사상 최초 인쇄 보다 제작 백성 에게 널리 배포 하다 그것 바로 을묘 정리 의궤 이다
